idx,start_sec,end_sec,block,visual_need,status,filename,media_type,cv_grade,faces,scenes,objects
1,0.0,6.237,B01,ice detail,assigned,S01_SH01_Arctic_Aerial_Master.jpg,image,0.98,0,0,"[""арктика"", ""холодная палитра""]"
2,6.237,12.474,B01,artifact close,assigned,S01_SH01_Arctic_Aerial_Master.jpg,image,0.98,0,0,"[""арктика"", ""холодная палитра""]"
3,12.474,18.71,B01,note close,assigned,S01_SH01_Arctic_Aerial_Master.jpg,image,0.98,0,0,"[""арктика"", ""холодная палитра""]"
4,18.71,24.947,B01,arctic wide,assigned,S01_SH01_Arctic_Aerial_Master.jpg,image,0.98,0,0,"[""арктика"", ""холодная палитра""]"
5,24.947,31.184,B01,ice detail,assigned,S01_SH06_Deck_Detail.jpg,image,0.98,4,0,"[""люди/лица"", ""палуба""]"
6,31.184,37.421,B01,artifact close,assigned,S01_SH02_Erebus_Terror_Master.jpg,image,0.98,0,0,"[""корабль"", ""холодная палитра""]"
7,37.421,43.034,B01,ship ice wide,assigned,S01_SH02_Erebus_Terror_Master.jpg,image,0.98,0,0,"[""корабль"", ""холодная палитра""]"
8,43.034,48.647,B01,ship ice video,assigned,S01_SH02_Erebus_Terror_Master.jpg,image,0.98,0,0,"[""корабль"", ""холодная палитра""]"
9,48.647,54.261,B01,drone arctic,assigned,S01_SH02_Erebus_Terror_Master.jpg,image,0.98,0,0,"[""корабль"", ""холодная палитра""]"
10,54.261,59.874,B01,hull ice,assigned,franklin_video_01.mp4,video,0.9,1,1,"[""люди/лица"", ""холодная палитра""]"
11,59.874,65.487,B01,ship ice wide,assigned,S01_SH01_Arctic_Aerial_Master.jpg,image,0.98,0,0,"[""арктика"", ""холодная палитра""]"
12,65.487,71.1,B01,ship ice video,assigned,franklin_video_01.mp4,video,0.9,1,1,"[""люди/лица"", ""холодная палитра""]"
13,71.1,76.713,B01,drone arctic,assigned,franklin_video_01.mp4,video,0.9,1,1,"[""люди/лица"", ""холодная палитра""]"
