Трек,№,Старт,Конец,Длительность,Блок,Статус,Медиа,Название
Видео,1,0.0,6.237,6.24,B01,assigned,image,S01_SH01_Arctic_Aerial_Master.jpg
Видео,2,6.237,12.474,6.24,B01,assigned,image,S01_SH02_Erebus_Terror_Master.jpg
Видео,3,12.474,18.71,6.24,B01,assigned,video,franklin_video_01.mp4
Видео,4,18.71,24.947,6.24,B01,assigned,video,franklin_video_02.mp4
Видео,5,24.947,31.184,6.24,B01,assigned,image,S01_SH06_Deck_Detail.jpg
Видео,6,31.184,37.421,6.24,B01,assigned,video,franklin_video_03.mp4
Видео,7,37.421,43.034,5.61,B01,assigned,image,S01_SH04_Crew_Commander.jpg
Видео,8,43.034,48.647,5.61,B01,assigned,image,S01_SH05_Crew_Working.jpg
Видео,9,48.647,54.261,5.61,B01,missing,missing,drone arctic
Видео,10,54.261,59.874,5.61,B01,missing,missing,hull ice
Видео,11,59.874,65.487,5.61,B01,missing,missing,ship ice wide
Видео,12,65.487,71.1,5.61,B01,missing,missing,ship ice video
Видео,13,71.1,76.713,5.61,B01,missing,missing,drone arctic
Видео,14,76.713,82.327,5.61,B01,missing,missing,hull ice
Видео,15,82.327,87.94,5.61,B01,missing,missing,ship ice wide
Видео,16,87.94,93.553,5.61,B01,missing,missing,ship ice video
Видео,17,93.553,99.85,6.3,B01,missing,missing,crew captain deck
Видео,18,99.85,106.147,6.3,B01,missing,missing,crew working
Видео,19,106.147,112.444,6.3,B01,missing,missing,rigging ice
Видео,20,112.444,118.74,6.3,B01,missing,missing,deck detail
Видео,21,118.74,125.037,6.3,B01,missing,missing,crew captain deck
Видео,22,125.037,131.334,6.3,B01,missing,missing,crew working
Видео,23,131.334,137.631,6.3,B01,missing,missing,rigging ice
Видео,24,137.631,143.928,6.3,B01,missing,missing,deck detail
Видео,25,143.928,150.302,6.37,B02,missing,missing,archive document
Видео,26,150.302,156.676,6.37,B02,missing,missing,map search
Видео,27,156.676,163.05,6.37,B02,missing,missing,ship ice wide
Видео,28,163.05,169.424,6.37,B02,missing,missing,journal close
Видео,29,169.424,175.798,6.37,B02,missing,missing,archive document
Видео,30,175.798,182.172,6.37,B02,missing,missing,map search
Видео,31,182.172,188.546,6.37,B02,missing,missing,ship ice wide
Видео,32,188.546,194.92,6.37,B02,missing,missing,archive portrait
Видео,33,194.92,201.294,6.37,B02,missing,missing,letter document
Видео,34,201.294,207.668,6.37,B02,missing,missing,map routes
Видео,35,207.668,214.042,6.37,B02,missing,missing,search ship
Видео,36,214.042,220.416,6.37,B02,missing,missing,archive portrait
Видео,37,220.416,226.79,6.37,B02,missing,missing,letter document
Видео,38,226.79,233.164,6.37,B02,missing,missing,map routes
Видео,39,233.164,239.065,5.9,B02,missing,missing,ice camp grave
Видео,40,239.065,244.966,5.9,B02,missing,missing,grave marker
Видео,41,244.966,250.867,5.9,B02,missing,missing,can archive
Видео,42,250.867,256.768,5.9,B02,missing,missing,arctic coast
Видео,43,256.768,262.669,5.9,B02,missing,missing,ice camp grave
Видео,44,262.669,268.57,5.9,B02,missing,missing,grave marker
Видео,45,268.57,274.471,5.9,B02,missing,missing,can archive
Видео,46,274.471,280.372,5.9,B02,missing,missing,arctic coast
Видео,47,280.372,286.273,5.9,B02,missing,missing,ice camp grave
Видео,48,286.273,292.174,5.9,B02,missing,missing,grave marker
Видео,49,292.174,297.787,5.61,B03,missing,missing,document note close
Видео,50,297.787,303.4,5.61,B03,missing,missing,stone cairn
Видео,51,303.4,309.014,5.61,B03,missing,missing,metal cylinder
Видео,52,309.014,314.627,5.61,B03,missing,missing,paper reveal
Видео,53,314.627,320.24,5.61,B03,missing,missing,document note close
Видео,54,320.24,325.853,5.61,B03,missing,missing,stone cairn
Видео,55,325.853,331.466,5.61,B03,missing,missing,metal cylinder
Видео,56,331.466,337.08,5.61,B03,missing,missing,paper reveal
Видео,57,337.08,342.693,5.61,B03,missing,missing,document note close
Видео,58,342.693,348.306,5.61,B03,missing,missing,stone cairn
Видео,59,348.306,354.351,6.05,B03,missing,missing,document note map
